"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-01","2.46",",,W",,,"0.00",",,W,2400",,,"59",",,W","34",",,W","  270",",,W","  280",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-02","2.01",",,W",,,"0.00",",,W,2400",,,"61",",,W","34",",,W","  150",",,W",,,"10.1",",,W",,,,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-03","3.80",",,W",,,"0.00",",,W,2400",,,"61",",,W","33",",,W","   10",",,W","   10",",,W","14.1",",,W","16.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-04","3.13",",,W",,,"0.00",",,W,2400",,,"59",",,W","37",",,W","  140",",,W","  350",",,W","8.9",",,W","11.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-05","3.13",",,W",,,"0.00",",,W,2400",,,"72",",,W","42",",,W","  140",",,W","  320",",,W","15.0",",,W","19.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-06","2.24",",,W",,,"0.00",",,W,2400",,,"67",",,W","42",",,W","   40",",,W","  150",",,W","8.1",",,W","10.1",",,W","    1",",,W","    1",",,W",,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-07","3.58",",,W",,,"0.00",",,W,2400",,,"59",",,W","45",",,W","   60",",,W","  150",",,W","8.1",",,W","12.1",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-08","2.24",",,W",,,"0.00",",,W,2400",,,"62",",,W","41",",,W","  200",",,W","  150",",,W","8.1",",,W","11.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-09","2.01",",,W",,,"0.00",",,W,2400",,,"67",",,W","38",",,W","  260",",,W","  250",",,W","10.1",",,W","13.0",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-10","1.79",",,W",,,"0.00",",,W,2400",,,"70",",,W","40",",,W","  240",",,W","  240",",,W","8.1",",,W","10.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-11","2.01",",,W",,,"0.00",",,W,2400",,,"70",",,W","35",",,W","  250",",,W","  240",",,W","10.1",",,W","13.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-12","2.01",",,W",,,"0.00",",,W,2400",,,"72",",,W","38",",,W","  260",",,W","  260",",,W","12.1",",,W","13.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-13","2.24",",,W",,,"0.00",",,W,2400",,,"69",",,W","48",",,W","   20",",,W","  120",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-14","2.24",",,W",,,"0.00",",,W,2400",,,"67",",,W","42",",,W","  240",",,W","  230",",,W","8.9",",,W","11.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-15","1.57",",,W",,,"0.00","T,,W,2400",,,"68",",,W","47",",,W","  120",",,W","  130",",,W","8.1",",,W","8.9",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-16","2.68",",,W",,,"0.00",",,W,2400",,,"71",",,W","55",",,W","  270",",,W","  260",",,W","10.1",",,W","13.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-17","3.36",",,W",,,"0.06",",,W,2400",,,"62",",,W","51",",,W","  110",",,W","  100",",,W","12.1",",,W","14.1",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-18","2.91",",,W",,,"0.00",",,W,2400",,,"62",",,W","46",",,W","  130",",,W","  130",",,W","12.1",",,W","13.0",",,W","    1",",,W","    1",",,W",,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-19","2.68",",,W",,,"0.00",",,W,2400",,,"61",",,W","43",",,W","  130",",,W","  130",",,W","8.1",",,W","10.1",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-20","2.24",",,W",,,"0.00",",,W,2400",,,"69",",,W","39",",,W","  180",",,W","  160",",,W","12.1",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-21","4.25",",,W",,,"0.00",",,W,2400",,,"68",",,W","38",",,W","   20",",,W","   20",",,W","19.9",",,W","23.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-22","4.25",",,W",,,"0.00",",,W,2400",,,"67",",,W","37",",,W","  260",",,W","  270",",,W","14.1",",,W","16.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-23","2.68",",,W",,,"0.00",",,W,2400",,,"71",",,W","37",",,W","  260",",,W","  270",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-24","2.68",",,W",,,"0.00",",,W,2400",,,"67",",,W","34",",,W","  120",",,W","  120",",,W","8.9",",,W","10.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-25","2.46",",,W",,,"0.00",",,W,2400",,,"63",",,W","38",",,W","  130",",,W","  130",",,W","10.1",",,W","13.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-26","2.68",",,W",,,"0.00",",,W,2400",,,"65",",,W","37",",,W","  250",",,W","  240",",,W","12.1",",,W","14.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-27","2.24",",,W",,,"0.00",",,W,2400",,,"69",",,W","34",",,W","  240",",,W","  250",",,W","12.1",",,W","14.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-28","2.01",",,W",,,"0.00",",,W,2400",,,"71",",,W","37",",,W","  280",",,W","  160",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-29","2.91",",,W",,,"0.00",",,W,2400",,,"68",",,W","41",",,W","  230",",,W","  240",",,W","10.1",",,W","13.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-30","3.13",",,W",,,"0.00",",,W,2400",,,"70",",,W","33",",,W","  150",",,W","  170",",,W","12.1",",,W","14.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-01-31","1.57",",,W",,,"0.00",",,W,2400",,,"59",",,W","40",",,W","  260",",,W","  270",",,W","8.1",",,W","10.1",",,W","    1",",,W",,,,,"    1",",,W"
